Date;Value;Volume
02.01.1990;1814.38;0
03.01.1990;1869.66;0
04.01.1990;1835.88;0
05.01.1990;1820.00;0
08.01.1990;1843.24;0
09.01.1990;1865.94;0
10.01.1990;1839.63;0
11.01.1990;1855.83;0
12.01.1990;1855.66;0
15.01.1990;1841.61;0
16.01.1990;1785.93;0
17.01.1990;1802.48;0
18.01.1990;1779.4;0
19.01.1990;1773.56;0
22.01.1990;1779.3;0
24.01.1990;1756.41;0
25.01.1990;1787.59;0
26.01.1990;1794.14;0
29.01.1990;1811.55;0
30.01.1990;1812.9;0
31.01.1990;1822.78;0
01.02.1990;1858.08;0
02.02.1990;1910.67;0
05.02.1990;1939.43;0
06.02.1990;1931.67;0
07.02.1990;1904.96;0
08.02.1990;1915.79;0
09.02.1990;1885.89;0
12.02.1990;1860.38;0
13.02.1990;1840.98;0
14.02.1990;1832.23;0
15.02.1990;1850.96;0
16.02.1990;1893.66;0
19.02.1990;1869.19;0
20.02.1990;1823.81;0
21.02.1990;1807.19;0
22.02.1990;1820.15;0
23.02.1990;1789.64;0
26.02.1990;1776.04;0
27.02.1990;1804.32;0
28.02.1990;1809.92;0
01.03.1990;1787.87;0
02.03.1990;1818.23;0
05.03.1990;1833.16;0
06.03.1990;1822.22;0
07.03.1990;1844.72;0
08.03.1990;1860.92;0
09.03.1990;1858.74;0
12.03.1990;1846.08;0
13.03.1990;1867.48;0
14.03.1990;1862.64;0
15.03.1990;1879.32;0
16.03.1990;1889.69;0
20.03.1990;1908.83;0
21.03.1990;1937.99;0
22.03.1990;1918.98;0
23.03.1990;1932.12;0
26.03.1990;1939.53;0
27.03.1990;1924.98;0
28.03.1990;1928.6;0
29.03.1990;1953.89;0
30.03.1990;1968.55;0
02.04.1990;1931.3;0
03.04.1990;1968.33;0
04.04.1990;1963.25;0
05.04.1990;1958.39;0
06.04.1990;1947.84;0
09.04.1990;1923.86;0
10.04.1990;1898.51;0
11.04.1990;1893.77;0
12.04.1990;1918.17;0
17.04.1990;1914.35;0
18.04.1990;1889.76;0
19.04.1990;1878.87;0
20.04.1990;1884.33;0
23.04.1990;1837.5;0
24.04.1990;1830.53;0
25.04.1990;1843.31;0
26.04.1990;1827.07;0
27.04.1990;1825.52;0
30.04.1990;1813.25;0
02.05.1990;1843.41;0
03.05.1990;1881.79;0
04.05.1990;1912.89;0
07.05.1990;1934.95;0
08.05.1990;1899.28;0
09.05.1990;1896.58;0
10.05.1990;1843.04;0
11.05.1990;1875.03;0
14.05.1990;1860.33;0
15.05.1990;1851.25;0
16.05.1990;1841.77;0
17.05.1990;1841.58;0
18.05.1990;1843.59;0
21.05.1990;1811.18;0
22.05.1990;1813.32;0
23.05.1990;1831.8;0
25.05.1990;1823.17;0
28.05.1990;1828.96;0
29.05.1990;1842.74;0
30.05.1990;1850.54;0
31.05.1990;1844.81;0
01.06.1990;1856.95;0
05.06.1990;1876.69;0
06.06.1990;1849.02;0
07.06.1990;1837.43;0
08.06.1990;1822.23;0
11.06.1990;1809.66;0
12.06.1990;1800.36;0
13.06.1990;1878.39;0
15.06.1990;1792.26;0
18.06.1990;1797.42;0
19.06.1990;1836.74;0
20.06.1990;1849.55;0
21.06.1990;1863.57;0
22.06.1990;1872.92;0
25.06.1990;1896.21;0
26.06.1990;1890.36;0
27.06.1990;1901.46;0
28.06.1990;1895.17;0
29.06.1990;1879.9;0
02.07.1990;1915.3;0
03.07.1990;1906.23;0
04.07.1990;1925.13;0
05.07.1990;1914.18;0
06.07.1990;1932.8;0
09.07.1990;1923.86;0
10.07.1990;1909.63;0
11.07.1990;1917.89;0
12.07.1990;1916.26;0
13.07.1990;1931.33;0
16.07.1990;1931.86;0
17.07.1990;1929.00;0
18.07.1990;1966.04;0
19.07.1990;1957.24;0
20.07.1990;1947.43;0
23.07.1990;1938.04;0
24.07.1990;1921.16;0
25.07.1990;1920.25;0
26.07.1990;1932.89;0
27.07.1990;1919.81;0
30.07.1990;1911.69;0
31.07.1990;1919.12;0
01.08.1990;1892.89;0
02.08.1990;1869.38;0
03.08.1990;1840.94;0
06.08.1990;1740.93;0
07.08.1990;1770.3;0
08.08.1990;1723.63;0
09.08.1990;1755.63;0
10.08.1990;1749.34;0
13.08.1990;1706.05;0
14.08.1990;1715.05;0
15.08.1990;1742.2;0
16.08.1990;1727.45;0
17.08.1990;1665.88;0
20.08.1990;1635.69;0
21.08.1990;1549.96;0
22.08.1990;1575.1;0
23.08.1990;1520.34;0
24.08.1990;1559.04;0
27.08.1990;1654.8;0
28.08.1990;1617.89;0
29.08.1990;1637.66;0
30.08.1990;1638.95;0
31.08.1990;1629.51;0
03.09.1990;1629.22;0
04.09.1990;1590.07;0
05.09.1990;1564.27;0
06.09.1990;1557.12;0
07.09.1990;1562.92;0
10.09.1990;1600.45;0
11.09.1990;1577.42;0
12.09.1990;1598.34;0
13.09.1990;1582.95;0
14.09.1990;1554.07;0
17.09.1990;1541.15;0
18.09.1990;1507.27;0
19.09.1990;1487.54;0
20.09.1990;1457.51;0
21.09.1990;1446.57;0
24.09.1990;1416.05;0
25.09.1990;1353.4;0
26.09.1990;1381.99;0
27.09.1990;1354.08;0
28.09.1990;1334.89;0
01.10.1990;1420.73;0
02.10.1990;1444.89;0
04.10.1990;1422.35;0
05.10.1990;1391.76;0
08.10.1990;1465.53;0
09.10.1990;1433.41;0
10.10.1990;1407.11;0
11.10.1990;1428.38;0
12.10.1990;1459.7;0
15.10.1990;1478.89;0
16.10.1990;1460.72;0
17.10.1990;1440.79;0
18.10.1990;1470.07;0
19.10.1990;1482.09;0
22.10.1990;1474.51;0
23.10.1990;1514.07;0
24.10.1990;1493.82;0
25.10.1990;1497.58;0
26.10.1990;1457.05;0
29.10.1990;1454.49;0
30.10.1990;1431.14;0
31.10.1990;1433.82;0
01.11.1990;1417.26;0
02.11.1990;1414.32;0
05.11.1990;1414.95;0
06.11.1990;1398.24;0
07.11.1990;1371.15;0
08.11.1990;1369.44;0
09.11.1990;1381.49;0
12.11.1990;1402.24;0
13.11.1990;1402.91;0
14.11.1990;1406.23;0
15.11.1990;1421.19;0
16.11.1990;1425.68;0
19.11.1990;1467.47;0
20.11.1990;1467.3;0
22.11.1990;1496.1;0
23.11.1990;1483.36;0
26.11.1990;1443.16;0
27.11.1990;1415.26;0
28.11.1990;1420.62;0
29.11.1990;1418.92;0
30.11.1990;1441.23;0
03.12.1990;1462.58;0
04.12.1990;1446.34;0
05.12.1990;1470.96;0
06.12.1990;1504.67;0
07.12.1990;1512.84;0
10.12.1990;1504.8;0
11.12.1990;1492.68;0
12.12.1990;1517.24;0
13.12.1990;1517.8;0
14.12.1990;1522.4;0
17.12.1990;1475.87;0
18.12.1990;1477.41;0
19.12.1990;1457.24;0
20.12.1990;1409.26;0
21.12.1990;1414.88;0
27.12.1990;1410.87;0
28.12.1990;1398.23;0
02.01.1991;1366.1;0
03.01.1991;1366.65;0
04.01.1991;1396.07;0
07.01.1991;1358.16;0
08.01.1991;1353.95;0
09.01.1991;1375.16;0
10.01.1991;1383.4;0
11.01.1991;1382.26;0
14.01.1991;1327.8;0
15.01.1991;1325.62;0
16.01.1991;1322.68;0
17.01.1991;1422.67;0
18.01.1991;1405.06;0
22.01.1991;1375.12;0
23.01.1991;1358.76;0
24.01.1991;1375.16;0
25.01.1991;1382.05;0
28.01.1991;1382.68;0
29.01.1991;1380.26;0
30.01.1991;1400.73;0
31.01.1991;1420.08;0
01.02.1991;1426.51;0
04.02.1991;1435.03;0
05.02.1991;1438.85;0
06.02.1991;1428.69;0
07.02.1991;1436.26;0
08.02.1991;1467.82;0
11.02.1991;1488.74;0
12.02.1991;1468.94;0
13.02.1991;1489.41;0
14.02.1991;1486.52;0
15.02.1991;1531.19;0
18.02.1991;1572.57;0
19.02.1991;1587.13;0
20.02.1991;1567.32;0
21.02.1991;1566.32;0
22.02.1991;1582.52;0
25.02.1991;1601.15;0
26.02.1991;1558.24;0
27.02.1991;1565.52;0
28.02.1991;1542.09;0
01.03.1991;1516.73;0
04.03.1991;1530.85;0
05.03.1991;1540.26;0
06.03.1991;1594.32;0
07.03.1991;1580.46;0
08.03.1991;1602.29;0
11.03.1991;1565.78;0
12.03.1991;1571.61;0
13.03.1991;1542.19;0
14.03.1991;1576.55;0
15.03.1991;1570.55;0
18.03.1991;1552.85;0
19.03.1991;1546.53;0
20.03.1991;1517.92;0
21.03.1991;1519.59;0
25.03.1991;1515.5;0
26.03.1991;1498.44;0
27.03.1991;1508.8;0
28.03.1991;1522.8;0
02.04.1991;1538.62;0
03.04.1991;1577.5;0
04.04.1991;1571.97;0
05.04.1991;1586.87;0
08.04.1991;1579.95;0
09.04.1991;1582.11;0
10.04.1991;1561.89;0
11.04.1991;1565.37;0
12.04.1991;1583.14;0
15.04.1991;1601.42;0
16.04.1991;1603.36;0
17.04.1991;1623.83;0
18.04.1991;1613.76;0
19.04.1991;1599.37;0
22.04.1991;1571.91;0
23.04.1991;1597.05;0
24.04.1991;1603.73;0
25.04.1991;1620.45;0
26.04.1991;1623.78;0
29.04.1991;1620.28;0
30.04.1991;1605.79;0
02.05.1991;1630.04;0
03.05.1991;1631.84;0
06.05.1991;1623.99;0
07.05.1991;1627.46;0
08.05.1991;1607.28;0
10.05.1991;1620.63;0
13.05.1991;1610.9;0
14.05.1991;1598.5;0
15.05.1991;1590.35;0
16.05.1991;1598.08;0
17.05.1991;1598.87;0
21.05.1991;1617.4;0
22.05.1991;1647.69;0
23.05.1991;1652.71;0
24.05.1991;1671.87;0
27.05.1991;1681.45;0
28.05.1991;1682.14;0
29.05.1991;1681.33;0
31.05.1991;1704.11;0
03.06.1991;1694.11;0
04.06.1991;1685.38;0
05.06.1991;1712.76;0
06.06.1991;1704.17;0
